EXAMES: VISAO EXAME -> GRADE -> BLOCO (FUNIL ABRINDO),,,,,,,,,,,,,,
#,NOME DO EXAME,CODIGO V4.0,B4 (NICK),GRADE EXCLUSIVA,BLOCO,BLOCO NOME,B1,B2,B3,SEQ,GRUPO,SUBGRUPO,MODALIDADE,CODIGO ANTIGO
1,17 OH PROGESTERONA,EXAM ADRE GSOF 17OH 0001,17OH,GRADE SOFISTICADA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GSOF,0001,,,,
2,ACIDO METILMALONICO,EXAM DABS GSOF AMML 0001,AMML,GRADE SOFISTICADA,BLK010,BLOCO DEFICIENCIA ABSORCAO,EXAM,DABS,GSOF,0001,,,,
3,ACTH,EXAM ADRE GINT ACTH 0001,ACTH,GRADE INTERMEDIARIA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GINT,0001,,,,
4,AFP,EXAM ONCO GBAS AFPX 0001,AFPX,GRADE BASICA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GBAS,0001,,,,
5,ALDOSTERONA,EXAM ADRE GINT ALDO 0001,ALDO,GRADE INTERMEDIARIA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GINT,0001,,,,
6,ALUMINIO,EXAM TOXI GBAS ALUM 0001,ALUM,GRADE BASICA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GBAS,0001,,,,
7,AMILASE,EXAM BINT GBAS AMIL 0001,AMIL,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
8,ANCA C,EXAM AUTO GSOF ANCC 0001,ANCC,GRADE SOFISTICADA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GSOF,0001,,,,
9,ANCA P,EXAM AUTO GSOF ANCP 0001,ANCP,GRADE SOFISTICADA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GSOF,0001,,,,
10,ANGIORRESSONANCIA,EXAM RESS SGRD ANGR 0001,ANGR,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
11,ANGIOTOMOGRAFIA,EXAM TOMO SGRD ANGI 0001,ANGI,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
12,ANGIOTOMOGRAFIA CORONARIANA,EXAM CIMG SGRD ANTC 0001,ANTC,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
13,ANTI DNA,EXAM AUTO GINT ADNA 0001,ADNA,GRADE INTERMEDIARIA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GINT,0001,,,,
14,ANTI HBc TOTAL,EXAM DSTX GBAS AHBC 0001,AHBC,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
15,ANTI HBs,EXAM DSTX GBAS AHBS 0001,AHBS,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
16,ANTI HCV,EXAM DSTX GBAS AHCV 0001,AHCV,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
17,ANTI JO 1,EXAM AUTO GSOF ANTI 0001,ANTI,GRADE SOFISTICADA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GSOF,0001,,,,
18,ANTI RNP,EXAM AUTO GSOF ANT1 0001,ANT1,GRADE SOFISTICADA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GSOF,0001,,,,
19,ANTI SCL 70,EXAM AUTO GSOF ANT2 0001,ANT2,GRADE SOFISTICADA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GSOF,0001,,,,
20,ANTI SM,EXAM AUTO GINT ANSM 0001,ANSM,GRADE INTERMEDIARIA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GINT,0001,,,,
21,ANTI SSA RO,EXAM AUTO GINT ASSA 0001,ASSA,GRADE INTERMEDIARIA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GINT,0001,,,,
22,ANTI SSB LA,EXAM AUTO GINT ASSB 0001,ASSB,GRADE INTERMEDIARIA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GINT,0001,,,,
23,ANTI TG,EXAM TIRE GINT ATRG 0001,ATRG,GRADE INTERMEDIARIA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GINT,0001,,,,
24,ANTI TPO,EXAM TIRE GINT ATPO 0001,ATPO,GRADE INTERMEDIARIA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GINT,0001,,,,
25,ANTICARDIOLIPINA IGG,EXAM TROM GINT ACLG 0001,ACLG,GRADE INTERMEDIARIA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GINT,0001,,,,
26,ANTICARDIOLIPINA IGM,EXAM TROM GINT ACLM 0001,ACLM,GRADE INTERMEDIARIA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GINT,0001,,,,
27,ANTICOAGULANTE LUPICO,EXAM TROM GINT ALUP 0001,ALUP,GRADE INTERMEDIARIA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GINT,0001,,,,
28,ANTITROMBINA III,EXAM TROM GAMP AT3X 0001,AT3X,GRADE AMPLIADA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GAMP,0001,,,,
29,ANUSCOPIA,EXAM NDSC SGRD ANUS 0001,ANUS,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
30,APO C III,EXAM CARD GSOF APOC 0001,APOC,GRADE SOFISTICADA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GSOF,0001,,,,
31,APOE,EXAM GENE GSOF APOE 0001,APOE,GRADE SOFISTICADA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GSOF,0001,,,,
32,APOLIPOPROTEINA B,EXAM CARD GINT APOB 0001,APOB,GRADE INTERMEDIARIA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GINT,0001,,,,
33,ARSENIO,EXAM TOXI GINT ARSE 0001,ARSE,GRADE INTERMEDIARIA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GINT,0001,,,,
34,BETA 2 GLICOPROTEINA 1 IGG,EXAM TROM GINT B2GG 0001,B2GG,GRADE INTERMEDIARIA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GINT,0001,,,,
35,BETA 2 GLICOPROTEINA 1 IGM,EXAM TROM GINT B2GM 0001,B2GM,GRADE INTERMEDIARIA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GINT,0001,,,,
36,BETA 2 MICROGLOBULINA,EXAM ONCO GINT BETA 0001,BETA,GRADE INTERMEDIARIA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GINT,0001,,,,
37,BETA HCG,EXAM GRAV GBAS BHCG 0001,BHCG,GRADE BASICA,BLK015,BLOCO GRAVIDEZ,EXAM,GRAV,GBAS,0001,,,,
38,BHMT,EXAM GENE GSOF BHMT 0001,BHMT,GRADE SOFISTICADA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GSOF,0001,,,,
39,BILIRRUBINAS TOTAIS E FRACOES,EXAM BINT GBAS BILT 0001,BILT,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
40,C3,EXAM AUTO GINT C3XX 0001,C3XX,GRADE INTERMEDIARIA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GINT,0001,,,,
41,C4,EXAM AUTO GINT C4XX 0001,C4XX,GRADE INTERMEDIARIA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GINT,0001,,,,
42,CA 125,EXAM ONCO GBAS C125 0001,C125,GRADE BASICA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GBAS,0001,,,,
43,CA 15 3,EXAM ONCO GINT C153 0001,C153,GRADE INTERMEDIARIA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GINT,0001,,,,
44,CA 19 9,EXAM ONCO GINT C199 0001,C199,GRADE INTERMEDIARIA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GINT,0001,,,,
45,CA 72 4,EXAM ONCO GINT C724 0001,C724,GRADE INTERMEDIARIA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GINT,0001,,,,
46,CADMIO,EXAM TOXI GINT CADM 0001,CADM,GRADE INTERMEDIARIA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GINT,0001,,,,
47,CADMIO URINA,EXAM TOXI GSOF CADM 0001,CADM,GRADE SOFISTICADA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GSOF,0001,,,,
48,CALCIO CORONARIANO,EXAM CIMG SGRD CALC 0001,CALC,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
49,CALCITONINA,EXAM TIRE GAMP CALC 0001,CALC,GRADE AMPLIADA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GAMP,0001,,,,
50,CALCITONINA,EXAM ONCO GSOF CALC 0001,CALC,GRADE SOFISTICADA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GSOF,0001,,,,
51,CAPSULA ENDOSCOPICA,EXAM NDSC SGRD CAPS 0001,CAPS,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
52,CBS,EXAM GENE GSOF CBSX 0001,CBSX,GRADE SOFISTICADA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GSOF,0001,,,,
53,CEA,EXAM ONCO GBAS CEAX 0001,CEAX,GRADE BASICA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GBAS,0001,,,,
54,CERULOPLASMINA,EXAM MINE GINT CERU 0001,CERU,GRADE INTERMEDIARIA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GINT,0001,,,,
55,CHLAMYDIA TRACHOMATIS POR PCR,EXAM DSTX GSOF CHLA 0001,CHLA,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
56,CHUMBO,EXAM TOXI GBAS CHUM 0001,CHUM,GRADE BASICA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GBAS,0001,,,,
57,CISTATINA C,EXAM RENA GBAS CIST 0001,CIST,GRADE BASICA,BLK014,BLOCO RENAL ESPECIFICO,EXAM,RENA,GBAS,0001,,,,
58,CK 18,EXAM HEPA GSOF CK18 0001,CK18,GRADE SOFISTICADA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GSOF,0001,,,,
59,COBRE,EXAM MINE GINT COBR 0001,COBR,GRADE INTERMEDIARIA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GINT,0001,,,,
60,COLESTEROL TOTAL E FRACOES,EXAM CARD GBAS COLE 0001,COLE,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
61,COLONOSCOPIA,EXAM NDSC SGRD COLN 0001,COLN,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
62,COMT,EXAM GENE GINT COMT 0001,COMT,GRADE INTERMEDIARIA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GINT,0001,,,,
63,CORTISOL,EXAM ADRE GBAS CORT 0001,CORT,GRADE BASICA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GBAS,0001,,,,
64,CORTISOL SALIVAR - A NOITE - ENTRE 20:00 E 23:00 H,EXAM SALA GBAS CORT 0001,CORT,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
65,CORTISOL SALIVAR - A TARDE - ENTRE 16:00 E 18:00 H,EXAM SALA GBAS COR1 0001,COR1,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
66,CORTISOL SALIVAR - AO ACORDAR - ENTRE 05:00 E 08:00 H,EXAM SALA GBAS COR2 0001,COR2,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
67,CORTISOL SALIVAR - MADRUGADA - ENTRE 02:00 E 04:00 H,EXAM SALA GBAS COR3 0001,COR3,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
68,CREATININA,EXAM BINT GBAS CREA 0001,CREA,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
69,CTLF / TIBC,EXAM DABS GBAS CTLF 0001,CTLF,GRADE BASICA,BLK010,BLOCO DEFICIENCIA ABSORCAO,EXAM,DABS,GBAS,0001,,,,
70,CYP2C19,EXAM FARM GBAS C219 0001,C219,GRADE BASICA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GBAS,0001,,,,
71,CYP2C9,EXAM FARM GBAS CYP2 0001,CYP2,GRADE BASICA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GBAS,0001,,,,
72,CYP2D6,EXAM FARM GBAS C2D6 0001,C2D6,GRADE BASICA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GBAS,0001,,,,
73,CYP3A4,EXAM FARM GINT C3A4 0001,C3A4,GRADE INTERMEDIARIA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GINT,0001,,,,
74,CYP3A5,EXAM FARM GINT CYP3 0001,CYP3,GRADE INTERMEDIARIA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GINT,0001,,,,
75,D DIMERO,EXAM TROM GBAS DDIM 0001,DDIM,GRADE BASICA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GBAS,0001,,,,
76,DENSITOMETRIA OSSEA,EXAM DENS SGRD DOSS 0001,DOSS,SEM GRADE,BLK031,BLOCO DENSITOMETRIA,EXAM,DENS,SGRD,0001,,,,
77,DHEA S,EXAM ADRE GBAS DHES 0001,DHES,GRADE BASICA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GBAS,0001,,,,
78,DHT,EXAM GONA GINT DHTX 0001,DHTX,GRADE INTERMEDIARIA,BLK006,BLOCO GONADAL,EXAM,GONA,GINT,0001,,,,
79,DOPPLER DE CAROTIDAS,EXAM CIMG SGRD DOPP 0001,DOPP,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
80,ECOCARDIOGRAMA COM STRESS,EXAM CIMG SGRD ECOC 0001,ECOC,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
81,ECOCARDIOGRAMA TRANSTORACICO,EXAM CIMG SGRD ECO1 0001,ECO1,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
82,ELETROCARDIOGRAMA,EXAM CIMG SGRD ECGX 0001,ECGX,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
83,ELETROFORESE DE LIPOPROTEINAS,EXAM CARD GSOF ELET 0001,ELET,GRADE SOFISTICADA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GSOF,0001,,,,
84,ELF SCORE,EXAM HEPA GINT ELFS 0001,ELFS,GRADE INTERMEDIARIA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GINT,0001,,,,
85,ENDOSCOPIA DIGESTIVA ALTA,EXAM NDSC SGRD ENDA 0001,ENDA,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
86,ESTRADIOL,EXAM GONA GBAS ESTR 0001,ESTR,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
87,ESTRADIOL SALIVAR,EXAM SHOM GBAS ESRS 0001,ESRS,GRADE BASICA,BLK023,BLOCO SALIVAR HORMONAL,EXAM,SHOM,GBAS,0001,,,,
88,FA,EXAM BINT GBAS FOAL 0001,FOAL,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
89,FAN,EXAM AUTO GBAS FANX 0001,FANX,GRADE BASICA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GBAS,0001,,,,
90,FATOR V LEIDEN E MUTACAO DA PROTROMBINA,EXAM TROM GAMP FATO 0001,FATO,GRADE AMPLIADA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GAMP,0001,,,,
91,FERRITINA,EXAM BINT GBAS FERR 0001,FERR,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
92,FERRO SERICO,EXAM BINT GBAS FESE 0001,FESE,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
93,FIB 4,EXAM HEPA GBAS FIB4 0001,FIB4,GRADE BASICA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GBAS,0001,,,,
94,FIBRINOGENIO,EXAM COAG GINT FIBR 0001,FIBR,GRADE INTERMEDIARIA,BLK012,BLOCO COAGULOGRAMA,EXAM,COAG,GINT,0001,,,,
95,FIBROTEST,EXAM HEPA GINT FIBR 0001,FIBR,GRADE INTERMEDIARIA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GINT,0001,,,,
96,FOLATO,EXAM VITA GBAS AFOL 0001,AFOL,GRADE BASICA,BLK021,BLOCO VITAMINAS,EXAM,VITA,GBAS,0001,,,,
97,FRUTOSAMINA,EXAM GLIC GAMP FRUT 0001,FRUT,GRADE AMPLIADA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GAMP,0001,,,,
98,FSH,EXAM GONA GBAS FSHX 0001,FSHX,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
99,FTA ABS IGG,EXAM DSTX GINT FTAA 0001,FTAA,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
100,FTA ABS IGM,EXAM DSTX GINT FTA1 0001,FTA1,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
101,FTO,EXAM GENE GSOF FTOX 0001,FTOX,GRADE SOFISTICADA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GSOF,0001,,,,
102,GAMA GT,EXAM BINT GBAS GGTP 0001,GGTP,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
103,GENOTIPAGEM APO E,EXAM CARD GSOF GENO 0001,GENO,GRADE SOFISTICADA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GSOF,0001,,,,
104,GLICEMIA DE JEJUM,EXAM GLIC GBAS GLIJ 0001,GLIJ,GRADE BASICA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GBAS,0001,,,,
105,HBsAg,EXAM DSTX GBAS HBSA 0001,HBSA,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
106,HE4,EXAM ONCO GSOF HE4X 0001,HE4X,GRADE SOFISTICADA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GSOF,0001,,,,
107,HEMOGLOBINA GLICADA,EXAM BINT GBAS HBA1 0001,HBA1,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
108,HEMOGRAMA,EXAM BINT GBAS HEMG 0001,HEMG,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
109,HERPES SIMPLEX I II IGG,EXAM DSTX GINT HERP 0001,HERP,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
110,HERPES SIMPLEX I II IGM,EXAM DSTX GINT HER1 0001,HER1,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
111,HIV 1 E 2,EXAM DSTX GBAS HIV1 0001,HIV1,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
112,HOLOTRANSCIBALAMINA,EXAM DABS GINT HOLO 0001,HOLO,GRADE INTERMEDIARIA,BLK010,BLOCO DEFICIENCIA ABSORCAO,EXAM,DABS,GINT,0001,,,,
113,HOLTER 24 HORAS,EXAM CIMG SGRD HOLT 0001,HOLT,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
114,HOMA BETA,EXAM GLIC GINT HOMA 0001,HOMA,GRADE INTERMEDIARIA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GINT,0001,,,,
115,HOMA IR,EXAM GLIC GINT HOMA 0002,HOMA,GRADE INTERMEDIARIA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GINT,0002,,,,
116,HOMOCISTEINA,EXAM CARD GBAS HMCS 0001,HMCS,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
