EXAMES: VISAO EXAME -> GRADE -> BLOCO (FUNIL ABRINDO),,,,,,,,,,,,,,
117,HPV POR PCR,EXAM DSTX GSOF HPVP 0001,HPVP,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
118,INDICE DE OMEGA 3 ERITROCITARIO,EXAM CARD GINT OMG3 0001,OMG3,GRADE INTERMEDIARIA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GINT,0001,,,,
119,INSULINA,EXAM GLIC GBAS INSU 0001,INSU,GRADE BASICA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GBAS,0001,,,,
120,LARINGOSCOPIA,EXAM NDSC SGRD LARN 0001,LARN,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
121,LH,EXAM GONA GBAS LHXX 0001,LHXX,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
122,LIPOPROTEINA A,EXAM CARD GINT LPPA 0001,LPPA,GRADE INTERMEDIARIA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GINT,0001,,,,
123,MAGNESIO ERITROCITARIO,EXAM MINE GSOF MAGN 0001,MAGN,GRADE SOFISTICADA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GSOF,0001,,,,
124,MAGNESIO INTRAERITROCITARIO,EXAM MINE GSOF MAGN 0002,MAGN,GRADE SOFISTICADA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GSOF,0002,,,,
125,MAGNESIO SERICO,EXAM MINE GBAS MAGN 0001,MAGN,GRADE BASICA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GBAS,0001,,,,
126,MAMOGRAFIA BILATERAL,EXAM MAMO SGRD MAMO 0001,MAMO,SEM GRADE,BLK030,BLOCO MAMOGRAFIA,EXAM,MAMO,SGRD,0001,,,,
127,MAMOGRAFIA COM TOMOSSINTESE,EXAM MAMO SGRD MAM1 0001,MAM1,SEM GRADE,BLK030,BLOCO MAMOGRAFIA,EXAM,MAMO,SGRD,0001,,,,
128,MAPA 24 HORAS,EXAM CIMG SGRD MAPA 0001,MAPA,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
129,MERCURIO,EXAM TOXI GBAS MERC 0001,MERC,GRADE BASICA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GBAS,0001,,,,
130,MERCURIO URINA,EXAM TOXI GSOF MERC 0001,MERC,GRADE SOFISTICADA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GSOF,0001,,,,
131,MTHFR A1298C,EXAM GENE GBAS MTHF 0001,MTHF,GRADE BASICA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GBAS,0001,,,,
132,MTHFR C677T,EXAM GENE GBAS MTH1 0001,MTH1,GRADE BASICA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GBAS,0001,,,,
133,MTR,EXAM GENE GINT MTRX 0001,MTRX,GRADE INTERMEDIARIA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GINT,0001,,,,
134,MTRR,EXAM GENE GINT MTRR 0001,MTRR,GRADE INTERMEDIARIA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GINT,0001,,,,
135,MYCOPLASMA POR PCR,EXAM DSTX GSOF MYCO 0001,MYCO,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
136,NASOFIBROSCOPIA,EXAM NDSC SGRD NASO 0001,NASO,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
137,NEISSERIA GONORRHOEAE POR PCR,EXAM DSTX GSOF NEIS 0001,NEIS,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
138,NGAL,EXAM RENA GINT NGAL 0001,NGAL,GRADE INTERMEDIARIA,BLK014,BLOCO RENAL ESPECIFICO,EXAM,RENA,GINT,0001,,,,
139,OPRM1,EXAM FARM GSOF OPR1 0001,OPR1,GRADE SOFISTICADA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GSOF,0001,,,,
140,PCR US,EXAM CARD GBAS PCRU 0001,PCRU,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
141,PENK / PROENCEFALINA,EXAM RENA GSOF PENK 0001,PENK,GRADE SOFISTICADA,BLK014,BLOCO RENAL ESPECIFICO,EXAM,RENA,GSOF,0001,,,,
142,PERFIL DE ACIDOS GRAXOS,EXAM CARD GBAS PERF 0001,PERF,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
143,PROGESTERONA,EXAM GONA GBAS PROG 0001,PROG,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
144,PROGESTERONA SALIVAR,EXAM SHOM GBAS PRGS 0001,PRGS,GRADE BASICA,BLK023,BLOCO SALIVAR HORMONAL,EXAM,SHOM,GBAS,0001,,,,
145,PROLACTINA,EXAM GONA GBAS PROL 0001,PROL,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
146,PROTEINA C FUNCIONAL,EXAM TROM GAMP PROT 0001,PROT,GRADE AMPLIADA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GAMP,0001,,,,
147,PROTEINA S LIVRE,EXAM TROM GAMP PRO1 0001,PRO1,GRADE AMPLIADA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GAMP,0001,,,,
148,PSA LIVRE,EXAM PROS GBAS PSAL 0001,PSAL,GRADE BASICA,BLK007,BLOCO PROSTATA,EXAM,PROS,GBAS,0001,,,,
149,PSA TOTAL,EXAM PROS GBAS PSAT 0001,PSAT,GRADE BASICA,BLK007,BLOCO PROSTATA,EXAM,PROS,GBAS,0001,,,,
150,PTH,EXAM TIRE GINT PTHX 0001,PTHX,GRADE INTERMEDIARIA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GINT,0001,,,,
151,RAIO X DE ABDOME,EXAM RAIO SGRD RAIO 0001,RAIO,SEM GRADE,BLK029,BLOCO RX,EXAM,RAIO,SGRD,0001,,,,
152,RAIO X DE ARTICULACOES,EXAM RAIO SGRD RAI1 0001,RAI1,SEM GRADE,BLK029,BLOCO RX,EXAM,RAIO,SGRD,0001,,,,
153,RAIO X DE COLUNA,EXAM RAIO SGRD RAI2 0001,RAI2,SEM GRADE,BLK029,BLOCO RX,EXAM,RAIO,SGRD,0001,,,,
154,RAIO X DE TORAX,EXAM RAIO SGRD RAI3 0001,RAI3,SEM GRADE,BLK029,BLOCO RX,EXAM,RAIO,SGRD,0001,,,,
155,RELACAO AA / EPA,EXAM CARD GINT RELA 0001,RELA,GRADE INTERMEDIARIA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GINT,0001,,,,
156,RENINA,EXAM ADRE GINT RENI 0001,RENI,GRADE INTERMEDIARIA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GINT,0001,,,,
157,RESSONANCIA MAGNETICA DE ABDOME SUPERIOR,EXAM RESS SGRD MAGN 0001,MAGN,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
158,RESSONANCIA MAGNETICA DE ARTICULACOES,EXAM RESS SGRD MAG1 0001,MAG1,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
159,RESSONANCIA MAGNETICA DE COLUNA CERVICAL,EXAM RESS SGRD MAG2 0001,MAG2,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
160,RESSONANCIA MAGNETICA DE COLUNA LOMBAR,EXAM RESS SGRD MAG3 0001,MAG3,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
161,RESSONANCIA MAGNETICA DE COLUNA TORACICA,EXAM RESS SGRD MAG4 0001,MAG4,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
162,RESSONANCIA MAGNETICA DE CRANIO,EXAM RESS SGRD MAG5 0001,MAG5,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
163,RESSONANCIA MAGNETICA DE JOELHO,EXAM RESS SGRD MAG6 0001,MAG6,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
164,RESSONANCIA MAGNETICA DE MAMAS,EXAM RESS SGRD MAG7 0001,MAG7,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
165,RESSONANCIA MAGNETICA DE OMBRO,EXAM RESS SGRD MAG8 0001,MAG8,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
166,RESSONANCIA MAGNETICA DE PELVE,EXAM RESS SGRD MAG9 0001,MAG9,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
167,RESSONANCIA MAGNETICA DE SELA TURCA,EXAM RESS SGRD MAG10 0001,MAG10,SEM GRADE,BLK026,BLOCO RESSONANCIA MAGNETICA,EXAM,RESS,SGRD,0001,,,,
168,RETOSSIGMOIDOSCOPIA,EXAM NDSC SGRD RTSG 0001,RTSG,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
169,SATURACAO DE TRANSFERRINA,EXAM DABS GBAS SATU 0001,SATU,GRADE BASICA,BLK010,BLOCO DEFICIENCIA ABSORCAO,EXAM,DABS,GBAS,0001,,,,
170,SHBG,EXAM GONA GBAS SHBG 0001,SHBG,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
171,SLCO1B1,EXAM FARM GINT SLCO 0001,SLCO,GRADE INTERMEDIARIA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GINT,0001,,,,
172,T3 LIVRE,EXAM TIRE GBAS T3LV 0001,T3LV,GRADE BASICA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GBAS,0001,,,,
173,T3 REVERSO,EXAM TIRE GINT T3RV 0001,T3RV,GRADE INTERMEDIARIA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GINT,0001,,,,
174,T4 LIVRE,EXAM TIRE GBAS T4LV 0001,T4LV,GRADE BASICA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GBAS,0001,,,,
175,TAP,EXAM COAG GBAS TAPX 0001,TAPX,GRADE BASICA,BLK012,BLOCO COAGULOGRAMA,EXAM,COAG,GBAS,0001,,,,
176,TESTE ERGOMETRICO,EXAM CIMG SGRD TERG 0001,TERG,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
177,TESTOSTERONA LIVRE,EXAM GONA GBAS TESL 0001,TESL,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
178,TESTOSTERONA SALIVAR,EXAM SHOM GBAS TESS 0001,TESS,GRADE BASICA,BLK023,BLOCO SALIVAR HORMONAL,EXAM,SHOM,GBAS,0001,,,,
179,TESTOSTERONA TOTAL,EXAM GONA GBAS TEST 0001,TEST,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
180,TFG ESTIMADA eGFR,EXAM RENA GBAS TFGE 0001,TFGE,GRADE BASICA,BLK014,BLOCO RENAL ESPECIFICO,EXAM,RENA,GBAS,0001,,,,
181,TG,EXAM TIRE GAMP TGXX 0001,TGXX,GRADE AMPLIADA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GAMP,0001,,,,
182,TGO,EXAM BINT GBAS TGOX 0001,TGOX,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
183,TGP,EXAM BINT GBAS TGPX 0001,TGPX,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
184,TIPAGEM SANGUINEA ABO RH,EXAM BINT GINT TIPA 0001,TIPA,GRADE INTERMEDIARIA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GINT,0001,,,,
185,TIREOGLOBULINA,EXAM ONCO GSOF TIRG 0001,TIRG,GRADE SOFISTICADA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GSOF,0001,,,,
186,TOMOGRAFIA DE ABDOME,EXAM TOMO SGRD DEA2 0001,DEA2,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
187,TOMOGRAFIA DE ABDOME E PELVE,EXAM TOMO SGRD DEA3 0001,DEA3,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
188,TOMOGRAFIA DE ARTICULACOES,EXAM TOMO SGRD DEAR 0001,DEAR,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
189,TOMOGRAFIA DE COLUNA CERVICAL,EXAM TOMO SGRD DECO 0001,DECO,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
190,TOMOGRAFIA DE COLUNA LOMBAR,EXAM TOMO SGRD DEC1 0001,DEC1,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
191,TOMOGRAFIA DE COLUNA TORACICA,EXAM TOMO SGRD DEC2 0001,DEC2,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
192,TOMOGRAFIA DE CRANIO,EXAM TOMO SGRD DECR 0001,DECR,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
193,TOMOGRAFIA DE PELVE,EXAM TOMO SGRD DEPE 0001,DEPE,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
194,TOMOGRAFIA DE PESCOCO,EXAM TOMO SGRD DEP1 0001,DEP1,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
195,TOMOGRAFIA DE SEIOS DA FACE,EXAM TOMO SGRD DESE 0001,DESE,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
196,TOMOGRAFIA DE TORAX,EXAM TOMO SGRD DETO 0001,DETO,SEM GRADE,BLK025,BLOCO TOMOGRAFIA,EXAM,TOMO,SGRD,0001,,,,
197,TPMT,EXAM FARM GSOF TPMT 0001,TPMT,GRADE SOFISTICADA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GSOF,0001,,,,
198,TRAB,EXAM TIRE GINT TRAB 0001,TRAB,GRADE INTERMEDIARIA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GINT,0001,,,,
199,TRICHOMONAS VAGINALIS POR PCR,EXAM DSTX GSOF TRIC 0001,TRIC,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
200,TSH,EXAM TIRE GBAS TSHX 0001,TSHX,GRADE BASICA,BLK002,BLOCO TIREOIDE,EXAM,TIRE,GBAS,0001,,,,
201,TTPA,EXAM COAG GBAS TTPA 0001,TTPA,GRADE BASICA,BLK012,BLOCO COAGULOGRAMA,EXAM,COAG,GBAS,0001,,,,
202,UGT1A1,EXAM FARM GSOF UGT1 0001,UGT1,GRADE SOFISTICADA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GSOF,0001,,,,
203,ULTRASSOM COM TRANSLUCENCIA NUCAL,EXAM ULTR SGRD COM1 0001,COM1,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
204,ULTRASSOM DE ABDOME SUPERIOR,EXAM ULTR SGRD DEAB 0001,DEAB,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
205,ULTRASSOM DE ABDOME TOTAL,EXAM ULTR SGRD DEA1 0001,DEA1,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
206,ULTRASSOM DE BEXIGA,EXAM ULTR SGRD DEBE 0001,DEBE,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
207,ULTRASSOM DE BOLSA ESCROTAL,EXAM ULTR SGRD DEBO 0001,DEBO,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
208,ULTRASSOM DE FIGADO E VIAS BILIARES,EXAM ULTR SGRD DEFI 0001,DEFI,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
209,ULTRASSOM DE MAMAS,EXAM ULTR SGRD DEMA 0001,DEMA,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
210,ULTRASSOM DE PARTES MOLES,EXAM ULTR SGRD DEPA 0001,DEPA,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
211,ULTRASSOM DE PROSTATA,EXAM ULTR SGRD DEPR 0001,DEPR,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
212,ULTRASSOM DE RINS E VIAS URINARIAS,EXAM ULTR SGRD DERI 0001,DERI,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
213,ULTRASSOM DE TIREOIDE,EXAM ULTR SGRD DETI 0001,DETI,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
214,ULTRASSOM DE TIREOIDE COM DOPPLER,EXAM ULTR SGRD DET1 0001,DET1,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
215,ULTRASSOM DOPPLER ARTERIAL,EXAM ULTR SGRD UDAR 0001,UDAR,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
216,ULTRASSOM DOPPLER VENOSO,EXAM ULTR SGRD UDVE 0001,UDVE,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
217,ULTRASSOM MORFOLOGICO,EXAM ULTR SGRD MORF 0001,MORF,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
218,ULTRASSOM OBSTETRICO,EXAM ULTR SGRD OBST 0001,OBST,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
219,ULTRASSOM PELVICO,EXAM ULTR SGRD UPEL 0001,UPEL,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
220,ULTRASSOM TRANSRETAL,EXAM ULTR SGRD UTRT 0001,UTRT,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
221,ULTRASSOM TRANSVAGINAL,EXAM ULTR SGRD UTRV 0001,UTRV,SEM GRADE,BLK024,BLOCO ULTRASSOM,EXAM,ULTR,SGRD,0001,,,,
222,UREAPLASMA POR PCR,EXAM DSTX GSOF UREA 0001,UREA,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
223,UREIA,EXAM BINT GBAS UREI 0001,UREI,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
224,VDR,EXAM GENE GSOF VDRX 0001,VDRX,GRADE SOFISTICADA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GSOF,0001,,,,
225,VDRL,EXAM DSTX GINT VDRL 0001,VDRL,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
226,VHS,EXAM AUTO GBAS VHSX 0001,VHSX,GRADE BASICA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GBAS,0001,,,,
227,VITAMINA A,EXAM VITA GINT VITA 0001,VITA,GRADE INTERMEDIARIA,BLK021,BLOCO VITAMINAS,EXAM,VITA,GINT,0001,,,,
228,VITAMINA B12,EXAM BINT GBAS VB12 0001,VB12,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
229,VITAMINA C,EXAM VITA GBAS VITC 0001,VITC,GRADE BASICA,BLK021,BLOCO VITAMINAS,EXAM,VITA,GBAS,0001,,,,
230,VITAMINA D,EXAM BINT GBAS VITD 0001,VITD,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
231,VITAMINA E,EXAM VITA GINT VITE 0001,VITE,GRADE INTERMEDIARIA,BLK021,BLOCO VITAMINAS,EXAM,VITA,GINT,0001,,,,
232,VKORC1,EXAM FARM GSOF VKOR 0001,VKOR,GRADE SOFISTICADA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GSOF,0001,,,,
233,ZINCO,EXAM MINE GBAS ZINC 0001,ZINC,GRADE BASICA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GBAS,0001,,,,