IMPLANTES (PELLETS): NOMENCLATURA UNIVERSAL V4.0,,,,,,,,,
#,CODIGO V4.0,NOME REAL,SUBSTANCIA BASE,B1,B2,B3,B4 (NICK),SEQ (DOSAGEM),CODIGO ANTIGO
1,IMPL HORM SUBC ANAS 0001,ANASTROZOL PELLET,ANASTROZOL,IMPL,HORM,SUBC,ANAS,0001,IMPL HORM ANAS 001
2,IMPL HORM SUBC ANAS 0001,ANASTROZOL PELLET,ANASTROZOL,IMPL,HORM,SUBC,ANAS,0001,IMPL HORM ANAS 002
3,IMPL HORM SUBC BUPR 0001,BUPROPIONA PELLET,BUPROPIONA,IMPL,HORM,SUBC,BUPR,0001,IMPL NEUR BUPR 001
4,IMPL HORM SUBC DHEA 0001,DHEA PELLET,DHEA,IMPL,HORM,SUBC,DHEA,0001,IMPL HORM DHEA 001
5,IMPL HORM SUBC ESTR 0001,ESTRADIOL PELLET,ESTRADIOL,IMPL,HORM,SUBC,ESTR,0001,IMPL HORM ESTR 001
6,IMPL HORM SUBC ESTR 0001,ESTRADIOL PELLET,ESTRADIOL,IMPL,HORM,SUBC,ESTR,0001,IMPL HORM ESTR 002
7,IMPL HORM SUBC ESTR 0001,ESTRIOL PELLET,ESTRIOL,IMPL,HORM,SUBC,ESTR,0001,IMPL HORM ESTR 003
8,IMPL HORM SUBC GEST 0001,GESTRINONA PELLET,GESTRINONA,IMPL,HORM,SUBC,GEST,0001,IMPL HORM GEST 001
9,IMPL HORM SUBC GEST 0001,GESTRINONA PELLET,GESTRINONA,IMPL,HORM,SUBC,GEST,0001,IMPL HORM GEST 002
10,IMPL HORM SUBC GEST 0001,GESTRINONA PELLET,GESTRINONA,IMPL,HORM,SUBC,GEST,0001,IMPL HORM GEST 003
11,IMPL HORM SUBC HCGX 0001,HCG PELLET,HCG,IMPL,HORM,SUBC,HCGX,0001,IMPL HORM HCGX 001
12,IMPL HORM SUBC HCGX 0001,HCG PELLET,HCG,IMPL,HORM,SUBC,HCGX,0001,IMPL HORM HCGX 002
13,IMPL HORM SUBC HIDR 0001,HIDROCORTISONA PELLET,HIDROCORTISONA,IMPL,HORM,SUBC,HIDR,0001,IMPL NUTR CORT 001
14,IMPL HORM SUBC HIDR 0001,HIDROCORTISONA PELLET,HIDROCORTISONA,IMPL,HORM,SUBC,HIDR,0001,IMPL NUTR CORT 002
15,IMPL HORM SUBC HIDR 0001,HIDROCORTISONA PELLET,HIDROCORTISONA,IMPL,HORM,SUBC,HIDR,0001,IMPL NUTR CORT 003
16,IMPL HORM SUBC MELA 0001,MELATONINA PELLET,MELATONINA,IMPL,HORM,SUBC,MELA,0001,IMPL NEUR MELA 001
17,IMPL HORM SUBC METF 0001,METFORMINA + SITAGLIPTINA PELLET,METFORMINA + SITAGLIPTINA,IMPL,HORM,SUBC,METF,0001,IMPL META METF 002
18,IMPL HORM SUBC MET1 0001,METFORMINA PELLET,METFORMINA,IMPL,HORM,SUBC,MET1,0001,IMPL META METF 001
19,IMPL HORM SUBC NADH 0001,NADH PELLET,NADH,IMPL,HORM,SUBC,NADH,0001,IMPL NEUR NADH 001
20,IMPL HORM SUBC NALT 0001,NALTREXONA PELLET,NALTREXONA,IMPL,HORM,SUBC,NALT,0001,IMPL META NALT 001
21,IMPL HORM SUBC PREG 0001,PREGNENOLONA PELLET,PREGNENOLONA,IMPL,HORM,SUBC,PREG,0001,IMPL HORM PREG 001
22,IMPL HORM SUBC PROG 0001,PROGESTERONA PELLET,PROGESTERONA,IMPL,HORM,SUBC,PROG,0001,IMPL HORM PROG 001
23,IMPL HORM SUBC PROG 0001,PROGESTERONA PELLET,PROGESTERONA,IMPL,HORM,SUBC,PROG,0001,IMPL HORM PROG 002
24,IMPL HORM SUBC PROG 0001,PROGESTERONA PELLET,PROGESTERONA,IMPL,HORM,SUBC,PROG,0001,IMPL HORM PROG 003
25,IMPL HORM SUBC SITA 0001,SITAGLIPTINA PELLET,SITAGLIPTINA,IMPL,HORM,SUBC,SITA,0001,IMPL META SITA 001
26,IMPL HORM SUBC T3T4 0001,T3+T4 PELLET,T3+T4,IMPL,HORM,SUBC,T3T4,0001,IMPL HORM T3T4 001
27,IMPL HORM SUBC TADA 0001,TADALAFIL PELLET,TADALAFIL,IMPL,HORM,SUBC,TADA,0001,IMPL NUTR TADA 001
28,IMPL HORM SUBC TADA 0001,TADALAFIL PELLET,TADALAFIL,IMPL,HORM,SUBC,TADA,0001,IMPL NUTR TADA 002
29,IMPL HORM SUBC TADA 0001,TADALAFIL PELLET,TADALAFIL,IMPL,HORM,SUBC,TADA,0001,IMPL NUTR TADA 003
30,IMPL HORM SUBC TEST 0001,TESTOSTERONA PELLET,TESTOSTERONA,IMPL,HORM,SUBC,TEST,0001,IMPL HORM TEST 001
31,IMPL HORM SUBC TEST 0001,TESTOSTERONA PELLET,TESTOSTERONA,IMPL,HORM,SUBC,TEST,0001,IMPL HORM TEST 002
32,IMPL HORM SUBC TEST 0001,TESTOSTERONA PELLET,TESTOSTERONA,IMPL,HORM,SUBC,TEST,0001,IMPL HORM TEST 003