FORMULAS MANIPULADAS: NOMENCLATURA UNIVERSAL V4.0,,,,,,,,
#,CODIGO V4.0,NOME REAL,B1,B2,B3,B4 (NICK),SEQ,CODIGO ANTIGO
1,FORM GERA MODU DRE1 0001,FORMULA DRENAGEM E MODULACAO INFLAMATORIA,FORM,GERA,MODU,DRE1,0001,FORM INFL DREN 001
2,FORM GERA MANI FOCO 0001,FORMULA FOCO E DESEMPENHO COGNITIVO,FORM,GERA,MANI,FOCO,0001,FORM NEUR FOCO 001
3,FORM INTE REPA INTE 0001,FORMULA INTESTINO REPARACAO FASE 1,FORM,INTE,REPA,INTE,0001,FORM INTE ATAQ 001
4,FORM NEUR MODU MODU 0001,FORMULA MODULACAO ANSIEDADE BASE,FORM,NEUR,MODU,MODU,0001,FORM NEUR CALM 001
5,FORM HORM MODU MOD1 0001,FORMULA MODULACAO HORMONAL BASE,FORM,HORM,MODU,MOD1,0001,FORM HORM MODU 001
6,FORM PERF SUPO PRET 0001,FORMULA PRE TREINO SUPORTE,FORM,PERF,SUPO,PRET,0001,FORM PERF SUPO 001
7,FORM GERA REPO REPO 0001,FORMULA REPOSICAO MINERAL BASE,FORM,GERA,REPO,REPO,0001,FORM MINE REPO 001
8,FORM NEUR MANI SONO 0001,FORMULA SONO E RECUPERACAO,FORM,NEUR,MANI,SONO,0001,FORM NEUR SONO 001
9,FORM ESTE SUPO SUPO 0001,FORMULA SUPORTE CAPILAR BASE,FORM,ESTE,SUPO,SUPO,0001,FORM ESTE CAPI 001
10,FORM META SUPO SUP1 0001,FORMULA SUPORTE METABOLICO,FORM,META,SUPO,SUP1,0001,FORM META SUPO 001
11,FORM TIRE MODU SUP2 0001,FORMULA SUPORTE TIREOIDE MODULACAO BASE,FORM,TIRE,MODU,SUP2,0001,FORM TIRE MODU 001