SINTOMAS / QUEIXAS (ANAMNESE V14.1): NOMENCLATURA UNIVERSAL V4.0,,,,,,,
#,CODIGO V4.0,NOME REAL,B1,B2,B3,B4 (NICK),SEQ
1,SINT NEUR CEFA 001,CEFALEIA,SINT,NEUR,CEFA,001,0001
2,SINT UROG DISP 001,DISPAREUNIA,SINT,UROG,DISP,001,0001
3,SINT CARD DISP 001,DISPNEIA,SINT,CARD,DISP,001,0001
4,SINT OSMU DORL 001,DOR LOMBAR,SINT,OSMU,DORL,001,0001
5,SINT CARD EDEM 001,EDEMA DE PERNAS,SINT,CARD,EDEM,001,0001
6,SINT META FADI 001,FADIGA,SINT,META,FADI,001,0001
7,SINT NEUR MEMO 001,FALHA DE MEMORIA,SINT,NEUR,MEMO,001,0001
8,SINT ENDO FRIO 001,INTOLERANCIA AO FRIO,SINT,ENDO,FRIO,001,0001
9,SINT AUTO PRUR 001,PRURIDO,SINT,AUTO,PRUR,001,0001
10,SINT RESP TOSS 001,TOSSE,SINT,RESP,TOSS,001,0001