DIETAS (V14.1 DIETAS MASTER): NOMENCLATURA UNIVERSAL V4.0,,,,,,,
#,CODIGO V4.0,NOME REAL,B1,B2,B3,B4 (NICK),SEQ
1,DIET CARN 1000 001,CARNIVORA 1000 KCAL,DIET,CARN,1000,001,0001
2,DIET CARN 1500 001,CARNIVORA 1500 KCAL,DIET,CARN,1500,001,0001
3,DIET CARN 2000 001,CARNIVORA 2000 KCAL,DIET,CARN,2000,001,0001
4,DIET HPRO 1000 001,HIPERPROTEICA 1000 KCAL,DIET,HPRO,1000,001,0001
5,DIET HPRO 1500 001,HIPERPROTEICA 1500 KCAL,DIET,HPRO,1500,001,0001
6,DIET HPRO 2000 001,HIPERPROTEICA 2000 KCAL,DIET,HPRO,2000,001,0001
7,DIET KETO 1000 001,CETOGENICA 1000 KCAL,DIET,KETO,1000,001,0001
8,DIET KETO 1500 001,CETOGENICA 1500 KCAL,DIET,KETO,1500,001,0001
9,DIET KETO 2000 001,CETOGENICA 2000 KCAL,DIET,KETO,2000,001,0001
10,DIET LOWC 1000 001,LOW CARB 1000 KCAL,DIET,LOWC,1000,001,0001
11,DIET LOWC 1500 001,LOW CARB 1500 KCAL,DIET,LOWC,1500,001,0001
12,DIET LOWC 2000 001,LOW CARB 2000 KCAL,DIET,LOWC,2000,001,0001