RESUMO — NOMENCLATURA UNIVERSAL PADCOM V4.0 DEFINITIVA CORRIGIDA,,,
DOMINIO,TOTAL,ABA,EXEMPLO CODIGO
EXAMES,233,EXAMES BLOCO-GRADE-EXAME,EXAM TIRE GBAS TSHX 0001
INJETAVEIS,162,INJETAVEIS,INJE ENDO SUPR AALP 0300
IMPLANTES,32,IMPLANTES,IMPL HORM SUBC TEST 0050
ENDOVENOSOS,11,ENDOVENOSOS (SOROS),ENDO SORO TERA OXID 0001
FORMULAS,11,FORMULAS,FORM TIRE MODU SUPO 0001
DOENCAS,49,DOENCAS,DOEN TIRE HASH 001 0001
SINTOMAS,10,SINTOMAS,SINT META FADI 001
CIRURGIAS,3,CIRURGIAS,CIRU ENDO TIRE 001
DIETAS,12,DIETAS,DIET KETO 1000 001
BLOCOS,31,BLOCOS,BLCO TIRE EXAM GRDE 0002
,,,
TOTAL GERAL,554,,
,,,
NICKS UNICOS (B4),373,,
,,,
FONTE,V14.1 AUDITORIA SEMANTICA,,
EXAMES SEM BLOCO,0 (ZERO),,